,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
0,Afghanistan,1269.0,25198,9796,106.0,10.0,18,3.5,69.49,5.04,35526,737,2.07,36263.0,3.499434685492099
1,Albania,144.0,2745,1991,117.0,6.0,63,2.95,56.25,5.25,4171,709,17.0,4880.0,2.9508196721311477
2,Algeria,1163.0,18837,7973,616.0,8.0,749,4.16,67.34,6.17,23691,4282,18.07,27973.0,4.1575805240767885
3,Andorra,52.0,803,52,10.0,0.0,0,5.73,88.53,6.48,884,23,2.6,907.0,5.733186328555679
4,Angola,41.0,242,667,18.0,1.0,0,4.32,25.47,16.94,749,201,26.84,950.0,4.315789473684211
5,Antigua and Barbuda,3.0,65,18,4.0,0.0,5,3.49,75.58,4.62,76,10,13.16,86.0,3.488372093023256
6,Argentina,3059.0,72575,91782,4890.0,120.0,2057,1.83,43.35,4.21,130774,36642,28.02,167416.0,1.827184976346347
7,Armenia,711.0,26665,10014,73.0,6.0,187,1.9,71.32,2.67,34981,2409,6.89,37390.0,1.901577962021931
8,Australia,167.0,9311,5825,368.0,6.0,137,1.09,60.84,1.79,12428,2875,23.13,15303.0,1.0912892896817616
9,Austria,713.0,18246,1599,86.0,1.0,37,3.47,88.75,3.91,19743,815,4.13,20558.0,3.46823620974803
10,Azerbaijan,423.0,23242,6781,396.0,6.0,558,1.39,76.34,1.82,27890,2556,9.16,30446.0,1.389345069959929
11,Bahamas,11.0,91,280,1282.7401129943503,30.401129943502823,0,2.88,23.82,12.09,174,208,119.54,382.0,2.8795811518324608
12,Bahrain,141.0,36110,3231,351.0,1.0,421,0.36,91.46,0.39,36936,2546,6.89,39482.0,0.3571247657160225
13,Bangladesh,2965.0,125683,97577,2772.0,37.0,1801,1.31,55.56,2.36,207453,18772,9.05,226225.0,1.310642059896121
14,Barbados,7.0,94,9,0.0,0.0,0,6.36,85.45,7.45,106,4,3.77,110.0,6.363636363636363
15,Belarus,538.0,60492,6221,119.0,4.0,67,0.8,89.95,0.89,66213,1038,1.57,67251.0,0.7999881042661077
16,Belgium,9822.0,17452,39154,402.0,1.0,14,14.79,26.27,56.28,64094,2334,3.64,66428.0,14.785933642439936
17,Belize,2.0,26,20,0.0,0.0,0,4.17,54.17,7.69,40,8,20.0,48.0,4.166666666666666
18,Benin,35.0,1036,699,0.0,0.0,0,1.98,58.53,3.38,1602,168,10.49,1770.0,1.977401129943503
19,Bhutan,0.0,86,13,1282.7401129943503,30.401129943502823,1,0.0,86.87,0.0,90,9,10.0,99.0,0.0
20,Bolivia,2647.0,21478,47056,1752.0,64.0,309,3.72,30.17,12.32,60991,10190,16.71,71181.0,3.718688975990784
21,Bosnia and Herzegovina,294.0,4930,5274,731.0,14.0,375,2.8,46.96,5.96,8479,2019,23.81,10498.0,2.8005334349399886
22,Botswana,2.0,63,674,53.0,1.0,11,0.27,8.53,3.17,522,217,41.57,739.0,0.2706359945872801
23,Brazil,87618.0,1846641,508116,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,2442375.0,3.5874097957930293
24,Brunei,3.0,138,0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,141.0,2.127659574468085
25,Bulgaria,347.0,5585,4689,194.0,7.0,230,3.27,52.58,6.21,8929,1692,18.95,10621.0,3.267112324639864
26,Burkina Faso,53.0,926,121,14.0,0.0,6,4.82,84.18,5.72,1065,35,3.29,1100.0,4.818181818181818
27,Burma,6.0,292,52,0.0,0.0,2,1.71,83.43,2.05,341,9,2.64,350.0,1.7142857142857144
28,Burundi,1.0,301,76,17.0,0.0,22,0.26,79.63,0.33,322,56,17.39,378.0,0.26455026455026454
29,Cabo Verde,22.0,1550,756,21.0,0.0,103,0.95,66.58,1.42,2071,257,12.41,2328.0,0.9450171821305842
30,Cambodia,0.0,147,79,1.0,0.0,4,0.0,65.04,0.0,171,55,32.16,226.0,0.0
31,Cameroon,391.0,14539,2180,402.0,6.0,0,2.29,84.97,2.69,16157,953,5.9,17110.0,2.2852133255406195
32,Canada,8944.0,0,107514,682.0,11.0,0,7.68,0.0,inf,112925,3533,3.13,116458.0,7.68002198217383
33,Central African Republic,59.0,1546,2994,0.0,0.0,0,1.28,33.62,3.82,4548,51,1.12,4599.0,1.2828875842574472
34,Chad,75.0,810,37,7.0,0.0,0,8.13,87.85,9.26,889,33,3.71,922.0,8.134490238611713
35,Chile,9187.0,319954,18782,2133.0,75.0,1859,2.64,91.96,2.87,333029,14894,4.47,347923.0,2.640526783225024
